,"x	1",,,,,,,,,,,,,
De ,1,,,,,,,,,,,,,
ABSOLUTELY ,5,,,,,,,,,,,,,
ABSTINENCIA ,1,,,,,,,,,,,,,
AClashOfKings ,1,,,,,,,,,,,,,
ADanceWithDragons ,1,,,,,,,,,,,,,
ADragonRaisedByWolvesNever ,1,,,,,,,,,,,,,
AF ,1,,,,,,,,,,,,,
AHAHAHAHA ,2,,,,,,,,,,,,,
ALONE ,2,,,,,,,,,,,,,
ALPHAGameOfThrones ,1,,,,,,,,,,,,,
AM ,1,,,,,,,,,,,,,
AMA ,1,,,,,,,,,,,,,
AMAZING ,1,,,,,,,,,,,,,
ANUNAI ,1,,,,,,,,,,,,,
ARCHIVE ,1,,,,,,,,,,,,,
ARMANI ,1,,,,,,,,,,,,,
ART ,1,,,,,,,,,,,,,
ARYA ,1,,,,,,,,,,,,,
ASMS ,2,,,,,,,,,,,,,
ASMSSamantha ,1,,,,,,,,,,,,,
ASOIAF ,11,,,,,,,,,,,,,
ASOIAFGameofThronesArya ,1,,,,,,,,,,,,,
ASOIAFGoTSIm ,1,,,,,,,,,,,,,
ASOIAFThis ,1,,,,,,,,,,,,,
ASOIAFWellthis ,1,,,,,,,,,,,,,
ASOIAFplay ,1,,,,,,,,,,,,,
ASend ,1,,,,,,,,,,,,,
ASongOfIceAndFire ,1,,,,,,,,,,,,,
AT ,2,,,,,,,,,,,,,
AWESOMENESS ,7,,,,,,,,,,,,,
AZ ,1,,,,,,,,,,,,,
AZGoT ,1,,,,,,,,,,,,,
Abides ,1,,,,,,,,,,,,,
AboveIf ,1,,,,,,,,,,,,,
Absolutely ,1,,,,,,,,,,,,,
Absolutum ,1,,,,,,,,,,,,,
Accent ,3,,,,,,,,,,,,,
Action ,1,,,,,,,,,,,,,
Actor ,2,,,,,,,,,,,,,
Actors ,1,,,,,,,,,,,,,
Actress ,3,,,,,,,,,,,,,
Adam ,2,,,,,,,,,,,,,
Adorable ,1,,,,,,,,,,,,,
Adquierelo ,1,,,,,,,,,,,,,
Adult ,2,,,,,,,,,,,,,
After ,2,,,,,,,,,,,,,
Agencies ,4,,,,,,,,,,,,,
AgentsofSHIELD,1,,,,,,,,,,,,,
Ages,2,,,,,,,,,,,,,
Ahai,5,,,,,,,,,,,,,
Ahmadinejad,6,,,,,,,,,,,,,
AhmadinejadThe,1,,,,,,,,,,,,,
Ahora,1,,,,,,,,,,,,,
Aidan,1,,,,,,,,,,,,,
AidanGillen,1,,,,,,,,,,,,,
Al,1,,,,,,,,,,,,,
Alabama,12,,,,,,,,,,,,,
Alczar,3,,,,,,,,,,,,,
Ale,1,,,,,,,,,,,,,
Aleen,2,,,,,,,,,,,,,
Alert,1,,,,,,,,,,,,,
Alerta,1,,,,,,,,,,,,,
Alfie,1,,,,,,,,,,,,,
Alguien,1,,,,,,,,,,,,,
Ali,1,,,,,,,,,,,,,
Allen,1,,,,,,,,,,,,,
AllenGameOfThronesHouse,1,,,,,,,,,,,,,
AlphaMaleMadness,1,,,,,,,,,,,,,
Already,1,,,,,,,,,,,,,
Alumna,1,,,,,,,,,,,,,
Alv,1,,,,,,,,,,,,,
Always,2,,,,,,,,,,,,,
Alyciafromon,1,,,,,,,,,,,,,
Am,1,,,,,,,,,,,,,
Amare,1,,,,,,,,,,,,,
Amazon,1,,,,,,,,,,,,,
Ame,1,,,,,,,,,,,,,
America,1,,,,,,,,,,,,,
AmericanHorrorStory,1,,,,,,,,,,,,,
Americans,1,,,,,,,,,,,,,
Amsterdam,1,,,,,,,,,,,,,
AndThenThereWereNoneSend,1,,,,,,,,,,,,,
Anna,5,,,,,,,,,,,,,
Announcing,1,,,,,,,,,,,,,
Antrim,1,,,,,,,,,,,,,
Antrimseasoncharacters,1,,,,,,,,,,,,,
AnyDayGame,1,,,,,,,,,,,,,
Anyone,1,,,,,,,,,,,,,
Appreciative,1,,,,,,,,,,,,,
AprGameofThrones,1,,,,,,,,,,,,,
AprPDT,1,,,,,,,,,,,,,
AprPDTGameofThrones,1,,,,,,,,,,,,,
April,2,,,,,,,,,,,,,
Aprilat,2,,,,,,,,,,,,,
Arabiaso,1,,,,,,,,,,,,,
Archive,1,,,,,,,,,,,,,
Arena,1,,,,,,,,,,,,,
Armin,1,,,,,,,,,,,,,
Arrow,3,,,,,,,,,,,,,
Art,1,,,,,,,,,,,,,
ArtHBO,1,,,,,,,,,,,,,
ArtTheThrone,3,,,,,,,,,,,,,
Artisan,1,,,,,,,,,,,,,
ArtisanGoTSGoTSBring,1,,,,,,,,,,,,,
ArtisanWellthis,1,,,,,,,,,,,,,
Arya,24,,,,,,,,,,,,,
AryaStark,13,,,,,,,,,,,,,
AryaStarkGameofThronesGameofThrones,1,,,,,,,,,,,,,
AryaStarkGameofThroness,1,,,,,,,,,,,,,
AryaStarkGameofThronesspoiler,1,,,,,,,,,,,,,
AryaStarkSend,1,,,,,,,,,,,,,
Asa,3,,,,,,,,,,,,,
AsaButterfield,3,,,,,,,,,,,,,
Asabri,1,,,,,,,,,,,,,
Ask,1,,,,,,,,,,,,,
AskGoT,1,,,,,,,,,,,,,
Atlanta,1,,,,,,,,,,,,,
Atlantica,1,,,,,,,,,,,,,
Atrium,3,,,,,,,,,,,,,
AttackOnTitan,1,,,,,,,,,,,,,
Audition,1,,,,,,,,,,,,,
Australian,2,,,,,,,,,,,,,
Authentic,2,,,,,,,,,,,,,
Auto,1,,,,,,,,,,,,,
Autograph,1,,,,,,,,,,,,,
Autographed,14,,,,,,,,,,,,,
Available,91,,,,,,,,,,,,,
Avectoutes,2,,,,,,,,,,,,,
AvengersCaptainAmerica,1,,,,,,,,,,,,,
AwardsGameofThrones,1,,,,,,,,,,,,,
AwardsmeltyitGameofThrones,4,,,,,,,,,,,,,
Awww,1,,,,,,,,,,,,,
Azor,5,,,,,,,,,,,,,
B,1,,,,,,,,,,,,,
BABY,1,,,,,,,,,,,,,
BACK,1,,,,,,,,,,,,,
BAFTA,2,,,,,,,,,,,,,
BAFTAGame,1,,,,,,,,,,,,,
BALLPOINT,4,,,,,,,,,,,,,
BARATHEON,2,,,,,,,,,,,,,
BARATHEONRetired,2,,,,,,,,,,,,,
BBC,1,,,,,,,,,,,,,
BEST,1,,,,,,,,,,,,,
BETTER,1,,,,,,,,,,,,,
BEWEIS,1,,,,,,,,,,,,,
BFF,1,,,,,,,,,,,,,
BGUs,1,,,,,,,,,,,,,
BIG,1,,,,,,,,,,,,,
BLACK,1,,,,,,,,,,,,,
BLOOD,2,,,,,,,,,,,,,
BLOODTHORNE,3,,,,,,,,,,,,,
BLOODY,1,,,,,,,,,,,,,
BLU,4,,,,,,,,,,,,,
BLURAY,1,,,,,,,,,,,,,
BLURAYDVD,1,,,,,,,,,,,,,
BOLTON,1,,,,,,,,,,,,,
BONUS,3,,,,,,,,,,,,,
BOX,3,,,,,,,,,,,,,
BOXGameOfThrones,1,,,,,,,,,,,,,
BOY,1,,,,,,,,,,,,,
BR,1,,,,,,,,,,,,,
BRAND,1,,,,,,,,,,,,,
BRANS,1,,,,,,,,,,,,,
BROWNGameOfThrones,3,,,,,,,,,,,,,
Baahubali,5,,,,,,,,,,,,,
BabyDragon,1,,,,,,,,,,,,,
BabyDragonTshirt,1,,,,,,,,,,,,,
Back,2,,,,,,,,,,,,,
Backlash,1,,,,,,,,,,,,,
BackpacksWhat,1,,,,,,,,,,,,,
Backstabbingwarintrigue,1,,,,,,,,,,,,,
Bad,1,,,,,,,,,,,,,
BadLipReadingWellthis,1,,,,,,,,,,,,,
Badge,1,,,,,,,,,,,,,
Baelish,1,,,,,,,,,,,,,
BaelishGameofThrones,1,,,,,,,,,,,,,
BaelishRT,1,,,,,,,,,,,,,
Bafra,1,,,,,,,,,,,,,
BahamasKey,1,,,,,,,,,,,,,
BaharSend,1,,,,,,,,,,,,,
Bahubali,1,,,,,,,,,,,,,
Banca,5,,,,,,,,,,,,,
Bank,33,,,,,,,,,,,,,
Banner,4,,,,,,,,,,,,,
Banque,4,,,,,,,,,,,,,
Baratheon,4,,,,,,,,,,,,,
BaratheonGameOfThrones,2,,,,,,,,,,,,,
BaratheonGameOfThronesLet,1,,,,,,,,,,,,,
Barcelona,1,,,,,,,,,,,,,
Barriera,1,,,,,,,,,,,,,
Barristan,1,,,,,,,,,,,,,
Bartheon,1,,,,,,,,,,,,,
BaseballIsComingHouseReinsdorf,1,,,,,,,,,,,,,
Bashar,1,,,,,,,,,,,,,
Bastard,1,,,,,,,,,,,,,
Bastardosde,3,,,,,,,,,,,,,
Bastards,6,,,,,,,,,,,,,
BastardsGameOfThronesGoTSGreat,1,,,,,,,,,,,,,
Bastidores,2,,,,,,,,,,,,,
Batalla,3,,,,,,,,,,,,,
Battle,8,,,,,,,,,,,,,
BattleoftheBastards,40,,,,,,,,,,,,,
Battles,1,,,,,,,,,,,,,
Beach,3,,,,,,,,,,,,,
Bean,2,,,,,,,,,,,,,
BeanIts,1,,,,,,,,,,,,,
Beans,6,,,,,,,,,,,,,
Beauty,2,,,,,,,,,,,,,
Because,4,,,,,,,,,,,,,
Begins,12,,,,,,,,,,,,,
Bekijk,1,,,,,,,,,,,,,
Beklenen,1,,,,,,,,,,,,,
Belfastgetting,1,,,,,,,,,,,,,
Benioff,1,,,,,,,,,,,,,
BenioffDan,13,,,,,,,,,,,,,
Bentley,8,,,,,,,,,,,,,
Berlin,1,,,,,,,,,,,,,
BerningerGameofThrones,1,,,,,,,,,,,,,
Best,12,,,,,,,,,,,,,
BetrayalGame,1,,,,,,,,,,,,,
Better,1,,,,,,,,,,,,,
BetterBeardUses,1,,,,,,,,,,,,,
BetterCallSaul,1,,,,,,,,,,,,,
Beyonc,1,,,,,,,,,,,,,
Bhubali,1,,,,,,,,,,,,,
Bible,1,,,,,,,,,,,,,
BibleWhat,1,,,,,,,,,,,,,
Big,2,,,,,,,,,,,,,
BigEyesSo,1,,,,,,,,,,,,,
BigEyesThe,1,,,,,,,,,,,,,
Biggest,1,,,,,,,,,,,,,
Binge,1,,,,,,,,,,,,,
Birmingham,1,,,,,,,,,,,,,
BirthDay,1,,,,,,,,,,,,,
BirthDaySomeone,1,,,,,,,,,,,,,
BirthdayDrHouseOnceUponATimeGameOfThronesGOTMixSeriesMixBirthdayGameOfThrones,1,,,,,,,,,,,,,
BirthdayDrHouseOnceUponATimeGameOfThronesGOTMixSeriesMixBirthdayRiverdaleNo,1,,,,,,,,,,,,,
BirthdayDrHouseOnceUponATimeGameOfThronesGOTMixSeriesMixBirthdayYeahhhhhNatalie,1,,,,,,,,,,,,,
BirthdayGifts,2,,,,,,,,,,,,,
BirthdayHeres,1,,,,,,,,,,,,,
BirthdayOrangeIsTheNewBlackGameOfThronesGOTMixSeriesMixBirthday,1,,,,,,,,,,,,,
BirthdayOrangeIsTheNewBlackGameOfThronesGOTMixSeriesMixBirthdayGame,1,,,,,,,,,,,,,
BirthdayOrangeIsTheNewBlackGameOfThronesGOTMixSeriesMixBirthdayTryin,1,,,,,,,,,,,,,
BirthdayOrangeIsTheNewBlackGameOfThronesGOTMixSeriesMixBirthdaygameofthrones,1,,,,,,,,,,,,,
BitRename,1,,,,,,,,,,,,,
BjrnssonThe,1,,,,,,,,,,,,,
Black,1,,,,,,,,,,,,,
Blackwater,1,,,,,,,,,,,,,
Bladerunner,5,,,,,,,,,,,,,
BlameBranDark,1,,,,,,,,,,,,,
BlameBranGame,1,,,,,,,,,,,,,
BlameBranGameOfThrones,1,,,,,,,,,,,,,
BlameBranTheres,1,,,,,,,,,,,,,
BlameBranWhere,1,,,,,,,,,,,,,
BlameBranconfirma,1,,,,,,,,,,,,,
Blaque,3,,,,,,,,,,,,,
Blend,2,,,,,,,,,,,,,
Blimey,1,,,,,,,,,,,,,
Blogger,1,,,,,,,,,,,,,
Blood,5,,,,,,,,,,,,,
BloodGOT,1,,,,,,,,,,,,,
Blossoms,1,,,,,,,,,,,,,
Blu,1,,,,,,,,,,,,,
BluRay,1,,,,,,,,,,,,,
Blue,7,,,,,,,,,,,,,
BlueHair,2,,,,,,,,,,,,,
Bluray,9,,,,,,,,,,,,,
BlurayDVDDigital,1,,,,,,,,,,,,,
BlurayDVDDisc,1,,,,,,,,,,,,,
BlurayDigital,3,,,,,,,,,,,,,
BlurayEnd,2,,,,,,,,,,,,,
BlurayGameofThrones,1,,,,,,,,,,,,,
BlurayTarget,1,,,,,,,,,,,,,
BoldandBeautiful,1,,,,,,,,,,,,,
Bolton,4,,,,,,,,,,,,,
Bom,1,,,,,,,,,,,,,
BondedHe,1,,,,,,,,,,,,,
Bonne,1,,,,,,,,,,,,,
Bonus,1,,,,,,,,,,,,,
Book,2,,,,,,,,,,,,,
Boone,1,,,,,,,,,,,,,
Boredom,1,,,,,,,,,,,,,
BoschAmazon,1,,,,,,,,,,,,,
Bottle,1,,,,,,,,,,,,,
Box,8,,,,,,,,,,,,,
BoxGame,1,,,,,,,,,,,,,
